address_sk,address_id,line1,line2,city,province_id,postal_code,country_code,address_type,created_at
1,1,Sucursal Buenos Aires - Av. Principal 101,,Buenos Aires,1,1001,AR,home,2025-10-28 17:05:44
2,2,Sucursal Córdoba - Av. Principal 102,,Córdoba,2,1002,AR,home,2025-10-28 17:05:44
3,3,Sucursal Santa Fe - Av. Principal 103,,Santa Fe,3,1003,AR,home,2025-10-28 17:05:44
4,4,Sucursal Mendoza - Av. Principal 104,,Mendoza,4,1004,AR,home,2025-10-28 17:05:44
5,1001,Calle 5545,Piso 4 Dto B,Córdoba,2,4934,AR,home,2025-10-28 17:05:44
6,1002,Calle 2808,Piso 9 Dto C,Rafaela,3,2071,AR,home,2025-10-28 17:05:44
7,1003,Calle 3108,Piso 4 Dto C,CABA,1,7131,AR,home,2025-10-28 17:05:44
8,1004,Calle 4007,,Río Cuarto,2,9773,AR,home,2025-10-28 17:05:44
9,1005,Calle 4050,Piso 1 Dto C,Santa Fe,3,3071,AR,home,2025-10-28 17:05:44
10,1006,Calle 3429,Piso 12 Dto A,Godoy Cruz,4,2062,AR,home,2025-10-28 17:05:44
11,1007,Calle 8343,Piso 6 Dto B,Mar del Plata,1,3932,AR,home,2025-10-28 17:05:44
12,1008,Calle 7919,Piso 12 Dto B,Río Cuarto,2,5396,AR,home,2025-10-28 17:05:44
13,1009,Calle 600,,Río Cuarto,2,8406,AR,home,2025-10-28 17:05:44
14,1010,Calle 6964,,La Plata,1,7129,AR,home,2025-10-28 17:05:44
15,1011,Calle 1377,Piso 5 Dto B,Córdoba,2,4771,AR,home,2025-10-28 17:05:44
16,1012,Calle 5512,Piso 7 Dto B,Mar del Plata,1,8086,AR,home,2025-10-28 17:05:44
17,1013,Calle 5195,,La Plata,1,3942,AR,home,2025-10-28 17:05:44
18,1014,Calle 1244,Piso 6 Dto A,Mar del Plata,1,9220,AR,home,2025-10-28 17:05:44
19,1015,Calle 4529,,CABA,1,2168,AR,home,2025-10-28 17:05:44
20,1016,Calle 5469,Piso 4 Dto C,CABA,1,5096,AR,home,2025-10-28 17:05:44
21,1017,Calle 4497,,Río Cuarto,2,9898,AR,home,2025-10-28 17:05:44
22,1018,Calle 4618,Piso 6 Dto B,La Plata,1,1194,AR,home,2025-10-28 17:05:44
23,1019,Calle 6513,,Córdoba,2,8773,AR,home,2025-10-28 17:05:44
24,1020,Calle 7680,Piso 12 Dto B,Mar del Plata,1,2406,AR,home,2025-10-28 17:05:44
25,1021,Calle 6844,Piso 4 Dto B,Santa Fe,3,1493,AR,home,2025-10-28 17:05:44
26,1022,Calle 5007,Piso 12 Dto A,CABA,1,6810,AR,home,2025-10-28 17:05:44
27,1023,Calle 6609,Piso 12 Dto C,La Plata,1,6342,AR,home,2025-10-28 17:05:44
28,1024,Calle 2280,Piso 3 Dto B,Córdoba,2,7247,AR,home,2025-10-28 17:05:44
29,1025,Calle 8758,Piso 7 Dto A,Mendoza,4,2779,AR,home,2025-10-28 17:05:44
30,1026,Calle 4992,,Villa Carlos Paz,2,3910,AR,home,2025-10-28 17:05:44
31,1027,Calle 8006,,Rafaela,3,2138,AR,home,2025-10-28 17:05:44
32,1028,Calle 4770,,CABA,1,8449,AR,home,2025-10-28 17:05:44
33,1029,Calle 2816,Piso 6 Dto B,CABA,1,3572,AR,home,2025-10-28 17:05:44
34,1030,Calle 7836,Piso 12 Dto A,La Plata,1,4382,AR,home,2025-10-28 17:05:44
35,1031,Calle 7082,Piso 12 Dto C,Santa Fe,3,3601,AR,home,2025-10-28 17:05:44
36,1032,Calle 7520,,Río Cuarto,2,3337,AR,home,2025-10-28 17:05:44
37,1033,Calle 9910,Piso 4 Dto C,La Plata,1,9043,AR,home,2025-10-28 17:05:44
38,1034,Calle 1493,Piso 5 Dto C,CABA,1,6681,AR,home,2025-10-28 17:05:44
39,1035,Calle 6801,Piso 4 Dto A,CABA,1,8501,AR,home,2025-10-28 17:05:44
40,1036,Calle 9317,,Mendoza,4,4927,AR,home,2025-10-28 17:05:44
41,1037,Calle 8811,,Mar del Plata,1,4559,AR,home,2025-10-28 17:05:44
42,1038,Calle 1987,,Mar del Plata,1,9264,AR,home,2025-10-28 17:05:44
43,1039,Calle 4142,,CABA,1,8572,AR,home,2025-10-28 17:05:44
44,1040,Calle 7568,Piso 7 Dto B,Mar del Plata,1,4185,AR,home,2025-10-28 17:05:44
45,1041,Calle 1879,Piso 12 Dto A,La Plata,1,8606,AR,home,2025-10-28 17:05:44
46,1042,Calle 8986,Piso 11 Dto A,CABA,1,3297,AR,home,2025-10-28 17:05:44
47,1043,Calle 2795,,Rosario,3,3903,AR,home,2025-10-28 17:05:44
48,1044,Calle 6404,,Mar del Plata,1,5476,AR,home,2025-10-28 17:05:44
49,1045,Calle 3550,,CABA,1,8242,AR,home,2025-10-28 17:05:44
50,1046,Calle 1685,Piso 7 Dto C,Rafaela,3,8274,AR,home,2025-10-28 17:05:44
51,1047,Calle 6184,Piso 4 Dto A,Córdoba,2,4908,AR,home,2025-10-28 17:05:44
52,1048,Calle 458,,La Plata,1,2035,AR,home,2025-10-28 17:05:44
53,1049,Calle 2751,,Mendoza,4,7810,AR,home,2025-10-28 17:05:44
